receipt_code	drug_name
620009145	オムニパーク３００注シリンジ１００ｍＬ　６４．７１％
620009146	オムニパーク３００注シリンジ１２５ｍＬ　６４．７１％
620009147	オムニパーク３００注シリンジ１５０ｍＬ　６４．７１％
620009148	オムニパーク３５０注シリンジ７０ｍＬ　７５．４９％
620009149	オムニパーク３５０注シリンジ１００ｍＬ　７５．４９％
621176405	リピオドール４８０注１０ｍＬ
621183101	ビリスコピン点滴静注５０　１０．５５％１００ｍＬ
621183301	イオパミドール３００注５０ｍＬ「Ｆ」　６１．２４％
621183402	イオパミドール３００注５０ｍＬ「ＦＦ」　６１．２４％
621183701	イオパミドール３００注１００ｍＬ「Ｆ」　６１．２４％
621183802	イオパミドール３００注１００ｍＬ「ＦＦ」　６１．２４％
621184101	イオパミドール３７０注５０ｍＬ「Ｆ」　７５．５２％
621184202	イオパミドール３７０注５０ｍＬ「ＦＦ」　７５．５２％
621184501	イオパミドール３７０注１００ｍＬ「Ｆ」　７５．５２％
621184602	イオパミドール３７０注１００ｍＬ「ＦＦ」　７５．５２％
621184901	イオパミドール１５０注５０ｍＬ「Ｆ」　３０．６２％
621185101	イオパミドール１５０注２００ｍＬ「Ｆ」　３０．６２％
621185301	イオパミドール３００注２０ｍＬ「Ｆ」　６１．２４％
621185603	イオパミドール３００注シリンジ５０ｍＬ「ＨＫ」　６１．２４％
621185703	イオパミドール３００注シリンジ１００ｍＬ「ＨＫ」　６１．２４％
621185802	イオパミドール３００注シリンジ１００ｍＬ「ＦＦ」　６１．２４％
621185901	イオパミドール３００注シリンジ１００ｍＬ「Ｆ」　６１．２４％
621186003	イオパミドール３７０注シリンジ５０ｍＬ「ＨＫ」　７５．５２％
621186103	イオパミドール３７０注シリンジ１００ｍＬ「ＨＫ」　７５．５２％
